Icon,Name,Description,SP,Badge Color
,Chill Spd/Def 2,"At start of turn, inflicts Spd/Def-5 on foe on the enemy team with the highest Spd+Def total through its next action.",240,
,Chill Spd/Res 1,"At start of turn, inflicts Spd/Res-3 on foe on the enemy team with the highest Spd+Res total through its next action.",120,
,Chill Spd/Res 2,"At start of turn, inflicts Spd/Res-5 on foe on the enemy team with the highest Spd+Res total through its next action.",240,
,Close Def 1,"If foe initiates combat and uses sword, lance, axe, dragonstone, or beast damage, grants Def/Res+2 during combat.",60,
,Close Def 2,"If foe initiates combat and uses sword, lance, axe, dragonstone, or beast damage, grants Def/Res+4 during combat.",120,
,Close Def 3,"If foe initiates combat and uses sword, lance, axe, dragonstone, or beast damage, grants Def/Res+6 during combat.",240,
,Close Guard 1,"Allies within 2 spaces gain: ""If foe uses sword, lance, axe, dragonstone, or beast damage, grants Def/Res+2 during combat.""",60,
,Close Guard 2,"Allies within 2 spaces gain: ""If foe uses sword, lance, axe, dragonstone, or beast damage, grants Def/Res+3 during combat.""",120,
,Close Guard 3,"Allies within 2 spaces gain: ""If foe uses sword, lance, axe, dragonstone, or beast damage, grants Def/Res+4 during combat.""",240,
,Darting Blow 1,"If unit initiates combat, grants Spd+2 during combat.",50,
,Darting Blow 2,"If unit initiates combat, grants Spd+4 during combat.",100,
,Darting Blow 3,"If unit initiates combat, grants Spd+6 during combat.",200,
,Darting Breath,"If foe initiates combat, grants Spd+4 during combat and Special cooldown charge +1 per attack. (Only highest value applied. Does not stack.)",240,
,Darting Stance 1,"If foe initiates combat, grants Spd+2 during combat.",50,
,Darting Stance 2,"If foe initiates combat, grants Spd+4 during combat.",100,
,Darting Stance 3,"If foe initiates combat, grants Spd+6 during combat.",200,
,Death Blow 1,"If unit initiates combat, grants Atk+2 during combat.",50,
,Death Blow 2,"If unit initiates combat, grants Atk+4 during combat.",100,
,Death Blow 3,"If unit initiates combat, grants Atk+6 during combat.",200,
,Def Feint 1,"If a Rally Assist skill is used by unit or targets unit, inflicts Def-3 on foes in cardinal directions of unit through their next actions.",60,
,Def Feint 2,"If a Rally Assist skill is used by unit or targets unit, inflicts Def-5 on foes in cardinal directions of unit through their next actions.",120,
,Def Feint 3,"If a Rally Assist skill is used by unit or targets unit, inflicts Def-7 on foes in cardinal directions of unit through their next actions.",240,
,Def Opening 1,"At start of turn, grants Def+2 to ally with the highest Def for 1 turn. (Excludes unit.)",60,
,Def Opening 2,"At start of turn, grants Def+4 to ally with the highest Def for 1 turn. (Excludes unit.)",120,
,Def Opening 3,"At start of turn, grants Def+6 to ally with the highest Def for 1 turn. (Excludes unit.)",240,
,Def Ploy 1,"At start of turn, inflicts Def-3 on foes in cardinal directions with Res < unit's Res through their next actions.",60,
,Def Ploy 2,"At start of turn, inflicts Def-4 on foes in cardinal directions with Res < unit's Res through their next actions.",120,
,Def Ploy 3,"At start of turn, inflicts Def-5 on foes in cardinal directions with Res < unit's Res through their next actions.",240,
,Def Tactic 1,"At start of turn, grants Def+2 to allies within 2 spaces for 1 turn. Granted only if number of that ally's movement type on current team ≤ 2.",60,
,Def Tactic 2,"At start of turn, grants Def+4 to allies within 2 spaces for 1 turn. Granted only if number of that ally's movement type on current team ≤ 2.",120,
,Def Tactic 3,"At start of turn, grants Def+6 to allies within 2 spaces for 1 turn. Granted only if number of that ally's movement type on current team ≤ 2.",240,
,Def/Res 1,Grants Def/Res+1.,80,
,Def/Res 2,Grants Def/Res+2.,160,
,Def/Res Bond 1,"If unit is adjacent to an ally, grants Def/Res+3 during combat.",60,
,Def/Res Bond 2,"If unit is adjacent to an ally, grants Def/Res+4 during combat.",120,
,Def/Res Bond 3,"If unit is adjacent to an ally, grants Def/Res+5 during combat.",240,
,Def/Res Catch 1,"At start of combat, if foe's HP = 100% or if【Penalty】is active on foe, grants Def/Res+3 to unit during combat.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",60,
,Def/Res Catch 2,"At start of combat, if foe's HP = 100% or if【Penalty】is active on foe, grants Def/Res+4 to unit during combat.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",120,
,Def/Res Catch 3,"At start of combat, if foe's HP = 100% or if【Penalty】is active on foe, grants Def/Res+5 to unit during combat.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",240,
,Def/Res Form 1,"If unit is within 2 spaces of an ally, grants Def/Res+X to unit during combat (X = number of allies within 2 spaces; max 3).",60,
,Def/Res Form 2,"If unit is within 2 spaces of an ally, grants Def/Res+X to unit during combat (X = number of allies within 2 spaces + 2; max 5).",120,
,Def/Res Form 3,"If unit is within 2 spaces of an ally, grants Def/Res+X to unit during combat (X = 2 × number of allies within 2 spaces, + 1; max 7).",240,
,Def/Res Ideal 1,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Def/Res+3 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",60,
,Def/Res Ideal 2,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Def/Res+4 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",120,
,Def/Res Ideal 3,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Def/Res+5 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",240,
,Def/Res Oath 1,"At start of turn, if unit is adjacent to an ally, grants Def/Res+3 to unit for 1 turn.",60,
,Def/Res Oath 2,"At start of turn, if unit is adjacent to an ally, grants Def/Res+4 to unit for 1 turn.",120,
,Def/Res Oath 3,"At start of turn, if unit is adjacent to an ally, grants Def/Res+5 to unit for 1 turn.",240,
,Def/Res Snag 1,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, inflicts Def/Res-2 on nearest foes within 4 spaces of both unit and target through their next actions.",60,
,Def/Res Snag 2,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, inflicts Def/Res-4 on nearest foes within 4 spaces of both unit and target through their next actions.",120,
,Def/Res Snag 3,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, inflicts Def/Res-6 on nearest foes within 4 spaces of both unit and target through their next actions.",240,
,Def/Res Solo 1,"If unit is not adjacent to an ally, grants Def/Res+2 during combat.",60,
,Def/Res Solo 2,"If unit is not adjacent to an ally, grants Def/Res+4 during combat.",120,
,Def/Res Solo 3,"If unit is not adjacent to an ally, grants Def/Res+6 during combat.",240,
,Defense +1,Grants Def+1.,30,
,Defense +2,Grants Def+2.,60,
,Defense +3,Grants Def+3.,120,
,Defiant Atk 1,"At start of turn, if unit's HP ≤ 50%, grants Atk+3 for 1 turn.",40,
,Defiant Atk 2,"At start of turn, if unit's HP ≤ 50%, grants Atk+5 for 1 turn.",80,
,Defiant Atk 3,"At start of turn, if unit's HP ≤ 50%, grants Atk+7 for 1 turn.",160,
,Defiant Def 1,"At start of turn, if unit's HP ≤ 50%, grants Def+3 for 1 turn.",40,
,Defiant Def 2,"At start of turn, if unit's HP ≤ 50%, grants Def+5 for 1 turn.",80,
,Defiant Def 3,"At start of turn, if unit's HP ≤ 50%, grants Def+7 for 1 turn.",160,
,Defiant Spd 1,"At start of turn, if unit's HP ≤ 50%, grants Spd+3 for 1 turn.",40,
,Defiant Spd 2,"At start of turn, if unit's HP ≤ 50%, grants Spd+5 for 1 turn.",80,
,Defiant Spd 3,"At start of turn, if unit's HP ≤ 50%, grants Spd+7 for 1 turn.",160,
,Deflect Magic 1,"If unit receives consecutive attacks and foe uses magic, reduces damage from foe's second attack onward by 30%.",50,
,Deflect Magic 2,"If unit receives consecutive attacks and foe uses magic, reduces damage from foe's second attack onward by 50%.",100,
,Deflect Magic 3,"If unit receives consecutive attacks and foe uses magic, reduces damage from foe's second attack onward by 80%.",200,
,Deflect Melee 1,"If unit receives consecutive attacks and foe uses a sword, lance, or axe, reduces damage from foe's second attack onward by 30%.",50,
,Deflect Melee 2,"If unit receives consecutive attacks and foe uses a sword, lance, or axe, reduces damage from foe's second attack onward by 50%.",100,
,Deflect Melee 3,"If unit receives consecutive attacks and foe uses a sword, lance, or axe, reduces damage from foe's second attack onward by 80%.",200,
,Deflect Missile 1,"If unit receives consecutive attacks and foe uses bow or dagger, reduces damage from foe's second attack onward by 30%.",50,
,Deflect Missile 2,"If unit receives consecutive attacks and foe uses bow or dagger, reduces damage from foe's second attack onward by 50%.",100,
,Deflect Missile 3,"If unit receives consecutive attacks and foe uses bow or dagger, reduces damage from foe's second attack onward by 80%.",200,
,Desperation 1,"If unit’s HP ≤ 25% and unit initiates combat, unit can make a follow-up attack before foe can counterattack.",50,
,Desperation 2,"If unit’s HP ≤ 50% and unit initiates combat, unit can make a follow-up attack before foe can counterattack.",100,
,Desperation 3,"If unit’s HP ≤ 75% and unit initiates combat, unit can make a follow-up attack before foe can counterattack.",200,
,Dist. Counter (D),Unit can counterattack regardless of foe's range.,300,
,Dist. Counter (M),Unit can counterattack regardless of foe's range.,300,
,Distant Def 1,"If foe initiates combat and uses bow, dagger, magic, or staff, grants Def/Res+2 during combat.",60,
,Distant Def 2,"If foe initiates combat and uses bow, dagger, magic, or staff, grants Def/Res+4 during combat.",120,
,Distant Def 3,"If foe initiates combat and uses bow, dagger, magic, or staff, grants Def/Res+6 during combat.",240,
,Distant Guard 1,"Allies within 2 spaces gain: ""If foe uses bow, dagger, magic, or staff, grants Def/Res+2 during combat.""",60,
,Distant Guard 2,"Allies within 2 spaces gain: ""If foe uses bow, dagger, magic, or staff, grants Def/Res+3 during combat.""",120,
,Distant Guard 3,"Allies within 2 spaces gain: ""If foe uses bow, dagger, magic, or staff, grants Def/Res+4 during combat.""",240,
,Dragon's Wrath 1,"If foe initiates combat, reduces damage from foe's first attack by 10% during combat, and also, if unit's Atk > foe's Res, unit's first attack deals damage = 10% of unit's Atk minus foe's Res during combat.",60,
,Dragon's Wrath 2,"If foe initiates combat, reduces damage from foe's first attack by 15% during combat, and also, if unit's Atk > foe's Res, unit's first attack deals damage = 15% of unit's Atk minus foe's Res during combat.",120,
,Dragon's Wrath 3,"If foe initiates combat, reduces damage from foe's first attack by 20% during combat, and also, if unit's Atk > foe's Res, unit's first attack deals damage = 20% of unit's Atk minus foe's Res during combat.",240,
,Drive Atk 1,Grants Atk+2 to allies within 2 spaces during combat.,120,
,Drive Atk 2,Grants Atk+3 to allies within 2 spaces during combat.,240,
,Drive Def 1,Grants Def+2 to allies within 2 spaces during combat.,120,
,Drive Def 2,Grants Def+3 to allies within 2 spaces during combat.,240,
,Drive Res 1,Grants Res+2 to allies within 2 spaces during combat.,120,
,Drive Res 2,Grants Res+3 to allies within 2 spaces during combat.,240,
,Drive Spd 1,Grants Spd+2 to allies within 2 spaces during combat.,120,
,Drive Spd 2,Grants Spd+3 to allies within 2 spaces during combat.,240,
,Earth Boost 1,"At start of combat, if unit's HP ≥ foe's HP+3, grants Def+2 during combat.",50,
,Earth Boost 2,"At start of combat, if unit's HP ≥ foe's HP+3, grants Def+4 during combat.",100,
,Earth Boost 3,"At start of combat, if unit's HP ≥ foe's HP+3, grants Def+6 during combat.",200,
,Earth Dance 1,"If Sing or Dance is used, grants Def+3 to target.",50,
,Earth Dance 2,"If Sing or Dance is used, grants Def+4 to target.",100,
,Earth Dance 3,"If Sing or Dance is used, grants Def+5 to target.",200,
,Even Atk Wave 1,"At start of even-numbered turns, grants Atk+2 to unit and adjacent allies for 1 turn.(Bonus granted to unit even if no allies are adjacent.)",60,
,Even Atk Wave 2,"At start of even-numbered turns, grants Atk+4 to unit and adjacent allies for 1 turn.(Bonus granted to unit even if no allies are adjacent.)",120,
,Even Atk Wave 3,"At start of even-numbered turns, grants Atk+6 to unit and adjacent allies for 1 turn.(Bonus granted to unit even if no allies are adjacent.)",240,
,Even Def Wave 1,"At start of even-numbered turns, grants Def+2 to unit and adjacent allies for 1 turn.(Bonus granted to unit even if no allies are adjacent.)",60,
,Even Def Wave 2,"At start of even-numbered turns, grants Def+4 to unit and adjacent allies for 1 turn.(Bonus granted to unit even if no allies are adjacent.)",120,
,Even Def Wave 3,"At start of even-numbered turns, grants Def+6 to unit and adjacent allies for 1 turn.(Bonus granted to unit even if no allies are adjacent.)",240,
,Even Res Wave 1,"At start of even-numbered turns, grants Res+2 to unit and adjacent allies for 1 turn.(Bonus granted to unit even if no allies are adjacent.)",60,
,Even Res Wave 2,"At start of even-numbered turns, grants Res+4 to unit and adjacent allies for 1 turn.(Bonus granted to unit even if no allies are adjacent.)",120,
,Even Res Wave 3,"At start of even-numbered turns, grants Res+6 to unit and adjacent allies for 1 turn.(Bonus granted to unit even if no allies are adjacent.)",240,
,Even Spd Wave 1,"At start of even-numbered turns, grants Spd+2 to unit and adjacent allies for 1 turn.(Bonus granted to unit even if no allies are adjacent.)",60,
,Even Spd Wave 2,"At start of even-numbered turns, grants Spd+4 to unit and adjacent allies for 1 turn.(Bonus granted to unit even if no allies are adjacent.)",120,
,Even Spd Wave 3,"At start of even-numbered turns, grants Spd+6 to unit and adjacent allies for 1 turn.(Bonus granted to unit even if no allies are adjacent.)",240,
,Even Tempest 1,"At start of even-numbered turns, if unit's HP = 100%, unit can move 1 extra space. (That turn only. Does not stack.)",60,
,Even Tempest 2,"At start of even-numbered turns, if unit's HP ≥ 50%, unit can move 1 extra space. (That turn only. Does not stack.)",120,
,Even Tempest 3,"At start of even-numbered turns, unit can move 1 extra space. (That turn only. Does not stack.)",240,
,Fierce Breath,"If foe initiates combat, grants Atk+4 during combat and Special cooldown charge +1 per attack. (Only highest value applied. Does not stack.)",240,
,Fierce Stance 1,"If foe initiates combat, grants Atk+2 during combat.",50,
,Fierce Stance 2,"If foe initiates combat, grants Atk+4 during combat.",100,
,Fierce Stance 3,"If foe initiates combat, grants Atk+6 during combat.",200,
,Fire Boost 1,"At start of combat, if unit's HP ≥ foe's HP+3, grants Atk+2 during combat.",50,
,Fire Boost 2,"At start of combat, if unit's HP ≥ foe's HP+3, grants Atk+4 during combat.",100,
,Fire Boost 3,"At start of combat, if unit's HP ≥ foe's HP+3, grants Atk+6 during combat.",200,
,Flashing Blade 1,"If unit's Spd ≥ foe's Spd+5, grants Special cooldown charge +1 per unit's attack.(Only highest value applied. Does not stack.)",60,
,Flashing Blade 2,"If unit's Spd ≥ foe's Spd+3, grants Special cooldown charge +1 per unit's attack.(Only highest value applied. Does not stack.)",120,
,Flashing Blade 3,"If unit's Spd > foe's Spd, grants Special cooldown charge +1 per unit's attack.(Only highest value applied. Does not stack.)",240,
,Flier Formation 1,"If unit's HP = 100%, unit can move to a space adjacent to a flying ally within 2 spaces.",60,
,Flier Formation 2,"If unit's HP ≥ 50%, unit can move to a space adjacent to a flying ally within 2 spaces.",120,
,Flier Formation 3,Unit can move to a space adjacent to a flying ally within 2 spaces.,240,
,Flier Guidance 1,"If unit's HP = 100%, flying allies within 2 spaces can move to a space adjacent to unit.",60,
,Flier Guidance 2,"If unit's HP ≥ 50%, flying allies within 2 spaces can move to a space adjacent to unit.",120,
,Flier Guidance 3,Flying allies within 2 spaces can move to a space adjacent to unit.,240,
,Flow Refresh 1,"At the start of combat, if unit's HP = 100% and unit initiates combat, neutralizes effects that prevent unit's follow-up attacks and restores 5 HP to unit after combat.",60,
,Flow Refresh 2,"At the start of combat, if unit's HP ≥ 50% and unit initiates combat, neutralizes effects that prevent unit's follow-up attacks and restores 7 HP to unit after combat.",120,
,Flow Refresh 3,"If unit initiates combat, neutralizes effects that prevent unit's follow-up attacks and restores 10 HP to unit after combat.",240,
,Fort. Def/Res 1,Grants Def/Res+3.Inflicts Atk-3.,100,
,Fort. Def/Res 2,Grants Def/Res+4.Inflicts Atk-3.,200,
,Fortify Beasts,"At start of turn, grants Def/Res+6 to adjacent beast allies for 1 turn.",200,
,Fortify Def 1,"At start of turn, grants Def+2 to adjacent allies for 1 turn.",50,
,Fortify Def 2,"At start of turn, grants Def+3 to adjacent allies for 1 turn.",100,
,Fortify Def 3,"At start of turn, grants Def+4 to adjacent allies for 1 turn.",200,
,Fortify Dragons,"At start of turn, grants Def/Res+6 to adjacent dragon allies for 1 turn.",200,
,Fortify Res 1,"At start of turn, grants Res+2 to adjacent allies for 1 turn.",50,
,Fortify Res 2,"At start of turn, grants Res+3 to adjacent allies for 1 turn.",100,
,Fortify Res 3,"At start of turn, grants Res+4 to adjacent allies for 1 turn.",200,
,Fortress Def 1,Grants Def+3.Inflicts Atk-3.,40,
,Fortress Def 2,Grants Def+4.Inflicts Atk-3.,80,
,Fortress Def 3,Grants Def+5.Inflicts Atk-3.,160,
,Fortress Res 1,Grants Res+3.Inflicts Atk-3.,40,
,Fortress Res 2,Grants Res+4.Inflicts Atk-3.,80,
,Fortress Res 3,Grants Res+5.Inflicts Atk-3.,160,
,Fury 1,"Grants Atk/Spd/Def/Res+1. After combat, deals 2 damage to unit.",50,
,Fury 2,"Grants Atk/Spd/Def/Res+2. After combat, deals 4 damage to unit.",100,
,Fury 3,"Grants Atk/Spd/Def/Res+3. After combat, deals 6 damage to unit.",200,
,Gale Dance 1,"If Sing or Dance is used, grants Spd+2 to target.",50,
,Gale Dance 2,"If Sing or Dance is used, grants Spd+3 to target.",100,
,Gale Dance 3,"If Sing or Dance is used, grants Spd+4 to target.",200,
,Goad Beasts,Grants Atk/Spd+4 to beast allies within 2 spaces during combat.,200,
,Goad Dragons,Grants Atk/Spd+4 to dragon allies within 2 spaces during combat.,200,
,Ground Orders 1,"At start of turn, if unit's HP = 100%, grants the following status to adjacent infantry, armored, and cavalry allies for 1 turn: ""Unit can move to a space adjacent to any ally within 2 spaces.""",60,
,Ground Orders 2,"At start of turn, if unit's HP ≥ 50%, grants the following status to adjacent infantry, armored, and cavalry allies for 1 turn: ""Unit can move to a space adjacent to any ally within 2 spaces.""",120,
,Ground Orders 3,"At start of turn, grants the following status to adjacent infantry, armored, and cavalry allies for 1 turn: ""Unit can move to a space adjacent to any ally within 2 spaces.""",240,
,Guard 1,"At start of combat, if unit's HP = 100%, inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)",50,
,Guard 2,"At start of combat, if unit's HP ≥ 90%, inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)",100,
,Guard 3,"At start of combat, if unit's HP ≥ 80%, inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)",200,
,Guidance 1,"If unit's HP = 100%, infantry and armored allies within 2 spaces can move to a space adjacent to unit.",60,
,Guidance 2,"If unit's HP ≥ 50%, infantry and armored allies within 2 spaces can move to a space adjacent to unit.",120,
,Guidance 3,Infantry and armored allies within 2 spaces can move to a space adjacent to unit.,240,
,Hardy Bearing 1,"Disables unit's skills that change attack priority.At start of combat, if unit's HP = 100%, disables foe's skills that change attack priority.",50,
,Hardy Bearing 2,"Disables unit's skills that change attack priority. At start of combat, if unit's HP ≥ 50%, disables foe's skills that change attack priority.",100,
,Hardy Bearing 3,Disables unit's and foe's skills that change attack priority.,200,
,Heavy Blade 1,"If unit's Atk ≥ foe's Atk+5, grants Special cooldown charge +1 per unit's attack. (Only highest value applied. Does not stack.)",60,
,Heavy Blade 2,"If unit's Atk ≥ foe's Atk+3, grants Special cooldown charge +1 per unit's attack. (Only highest value applied. Does not stack.)",120,
,Heavy Blade 3,"If unit's Atk > foe's Atk, grants Special cooldown charge +1 per unit's attack. (Only highest value applied. Does not stack.)",240,
,Hone Atk 1,"At start of turn, grants Atk+2 to adjacent allies for 1 turn.",50,
,Hone Atk 2,"At start of turn, grants Atk+3 to adjacent allies for 1 turn.",100,
,Hone Atk 3,"At start of turn, grants Atk+4 to adjacent allies for 1 turn.",200,
,Hone Beasts,"At start of turn, grants Atk/Spd+6 to adjacent beast allies for 1 turn.",200,
,Hone Dragons,"At start of turn, grants Atk/Spd+6 to adjacent dragon allies for 1 turn.",200,
,Hone Spd 1,"At start of turn, grants Spd+2 to adjacent allies for 1 turn.",50,
,Hone Spd 2,"At start of turn, grants Spd+3 to adjacent allies for 1 turn.",100,
,Hone Spd 3,"At start of turn, grants Spd+4 to adjacent allies for 1 turn.",200,
,HP +3,Grants HP+3.,40,
,HP +4,Grants HP+4.,80,
,HP +5,Grants HP+5.,160,
,HP/Atk 1,"Grants HP+3, Atk+1.",100,
,HP/Atk 2,"Grants HP+4, Atk+2.",200,
,HP/Def 1,"Grants HP+3, Def+1.",100,
,HP/Def 2,"Grants HP+4, Def+2.",200,
,HP/Res 1,"Grants HP+3, Res+1.",100,
,HP/Res 2,"Grants HP+4, Res+2.",200,
,HP/Spd 1,"Grants HP+3, Spd+1.",100,
,HP/Spd 2,"Grants HP+4, Spd+2.",200,
,Inf. Hexblade 1,"If adjacent infantry allies use sword, lance, axe, bow, or dagger, calculates their damage using the lower of foe's Def or Res during combat. (Does not affect damage dealt by Specials that trigger before combat.)",60,
,Inf. Hexblade 2,"If adjacent infantry allies use sword, lance, axe, bow, or dagger, grants Atk/Spd+1 to those allies and calculates their damage using the lower of foe's Def or Res during combat. (Does not affect damage dealt by Specials that trigger before combat.)",120,
,Inf. Hexblade 3,"If adjacent infantry allies use sword, lance, axe, bow, or dagger, grants Atk/Spd+2 to those allies and calculates their damage using the lower of foe's Def or Res during combat. (Does not affect damage dealt by Specials that trigger before combat.)",240,
,Infantry Rush 1,"Infantry allies within 2 spaces gain: ""If unit's Atk ≥ foe's Atk+5, grants Special cooldown charge +1 per unit's attack. (Only highest value applied. Does not stack.)""",60,
,Infantry Rush 2,"Infantry allies within 2 spaces gain: ""If unit's Atk ≥ foe's Atk+3, grants Special cooldown charge +1 per unit's attack. (Only highest value applied. Does not stack.)""",120,
,Infantry Rush 3,"Infantry allies within 2 spaces gain: ""If unit's Atk > foe's Atk, grants Special cooldown charge +1 per unit's attack. (Only highest value applied. Does not stack.)""",240,
,Initiate Seal Atk 1,Grants Atk+1.,30,
,Initiate Seal Atk 2,Grants Atk+2.,60,
,Initiate Seal Atk 3,Grants Atk+3.,120,
,Initiate Seal Def 1,Grants Def+1.,30,
,Initiate Seal Def 2,Grants Def+2.,60,
,Initiate Seal Def 3,Grants Def+3.,120,
,Initiate Seal HP 1,Grants HP+3.,40,
,Initiate Seal HP 2,Grants HP+4.,80,
,Initiate Seal HP 3,Grants HP+5.,160,
,Initiate Seal Res 1,Grants Res+1.,30,
,Initiate Seal Res 2,Grants Res+2.,60,
,Initiate Seal Res 3,Grants Res+3.,120,
,Initiate Seal Spd 1,Grants Spd+1.,30,
,Initiate Seal Spd 2,Grants Spd+2.,60,
,Initiate Seal Spd 3,Grants Spd+3.,120,
,Iote's Shield,"Neutralizes ""effective against flying"" bonuses.",200,
,Kestrel Stance 1,"If foe initiates combat, grants Atk/Spd+2 during combat.",120,
,Kestrel Stance 2,"If foe initiates combat, grants Atk/Spd+4 during combat.",240,
,Life and Death 1,Grants Atk/Spd+3.Inflicts Def/Res-3.,50,
,Life and Death 2,Grants Atk/Spd+4.Inflicts Def/Res-4.,100,
,Life and Death 3,Grants Atk/Spd+5.Inflicts Def/Res-5.,200,
,Live to Serve 1,"When healing an ally with a staff, restores HP to unit = 50% of HP restored to target.",40,
,Live to Serve 2,"When healing an ally with a staff, restores HP to unit = 75% of HP restored to target.",80,
,Live to Serve 3,"When healing an ally with a staff, restores HP to unit = HP restored to target.",160,
,Mirror Stance 1,"If foe initiates combat, grants Atk/Res+2 during combat.",120,
,Mirror Stance 2,"If foe initiates combat, grants Atk/Res+4 during combat.",240,
,Mirror Strike 1,"If unit initiates combat, grants Atk/Res+2 during combat.",120,
,Mirror Strike 2,"If unit initiates combat, grants Atk/Res+4 during combat.",240,
,Mystic Boost 1,"Disables foe's skills that ""calculate damage using the lower of foe's Def or Res"" and ""calculate damage from staff like other weapons."" Restores 2 HP after combat.",60,
,Mystic Boost 2,"Disables foe's skills that ""calculate damage using the lower of foe's Def or Res"" and ""calculate damage from staff like other weapons."" Restores 4 HP after combat.",120,
,Mystic Boost 3,"Disables foe's skills that ""calculate damage using the lower of foe's Def or Res"" and ""calculate damage from staff like other weapons."" Restores 6 HP after combat.",240,
,Null Follow-Up 1,"At start of combat, if unit's HP = 100%, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks during combat.",60,
,Null Follow-Up 2,"At start of combat, if unit's HP ≥ 50%, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks during combat.",120,
,Null Follow-Up 3,Neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks during combat.,240,
,Obstruct 1,"If unit's HP ≥ 90%, foes cannot move through spaces adjacent to unit.(Does not affect foes with Pass skills.)",50,
,Obstruct 2,"If unit's HP ≥ 70%, foes cannot move through spaces adjacent to unit.(Does not affect foes with Pass skills.)",100,
,Obstruct 3,"If unit's HP ≥ 50%, foes cannot move through spaces adjacent to unit.(Does not affect foes with Pass skills.)",200,
,Odd Atk Wave 1,"At start of odd-numbered turns, grants Atk+2 to unit and adjacent allies for 1 turn. (Bonus granted to unit even if no allies are adjacent.)",60,
,Odd Atk Wave 2,"At start of odd-numbered turns, grants Atk+4 to unit and adjacent allies for 1 turn. (Bonus granted to unit even if no allies are adjacent.)",120,
,Odd Atk Wave 3,"At start of odd-numbered turns, grants Atk+6 to unit and adjacent allies for 1 turn. (Bonus granted to unit even if no allies are adjacent.)",240,
,Odd Def Wave 1,"At start of odd-numbered turns, grants Def+2 to unit and adjacent allies for 1 turn. (Bonus granted to unit even if no allies are adjacent.)",60,
,Odd Def Wave 2,"At start of odd-numbered turns, grants Def+4 to unit and adjacent allies for 1 turn. (Bonus granted to unit even if no allies are adjacent.)",120,
,Odd Def Wave 3,"At start of odd-numbered turns, grants Def+6 to unit and adjacent allies for 1 turn. (Bonus granted to unit even if no allies are adjacent.)",240,
,Odd Res Wave 1,"At start of odd-numbered turns, grants Res+2 to unit and adjacent allies for 1 turn. (Bonus granted to unit even if no allies are adjacent.)",60,
,Odd Res Wave 2,"At start of odd-numbered turns, grants Res+4 to unit and adjacent allies for 1 turn. (Bonus granted to unit even if no allies are adjacent.)",120,
,Odd Res Wave 3,"At start of odd-numbered turns, grants Res+6 to unit and adjacent allies for 1 turn. (Bonus granted to unit even if no allies are adjacent.)",240,
,Odd Spd Wave 1,"At start of odd-numbered turns, grants Spd+2 to unit and adjacent allies for 1 turn. (Bonus granted to unit even if no allies are adjacent.)",60,
,Odd Spd Wave 2,"At start of odd-numbered turns, grants Spd+4 to unit and adjacent allies for 1 turn. (Bonus granted to unit even if no allies are adjacent.)",120,
,Odd Spd Wave 3,"At start of odd-numbered turns, grants Spd+6 to unit and adjacent allies for 1 turn. (Bonus granted to unit even if no allies are adjacent.)",240,
,Odd Tempest 1,"At start of odd-numbered turns, if unit's HP = 100%, unit can move 1 extra space. (That turn only. Does not stack.)",60,
,Odd Tempest 2,"At start of odd-numbered turns, if unit's HP ≥ 50%, unit can move 1 extra space. (That turn only. Does not stack.)",120,
,Odd Tempest 3,"At start of odd-numbered turns, unit can move 1 extra space. (That turn only. Does not stack.)",240,
,Panic Ploy 1,"At start of turn, converts bonuses on foes in cardinal directions with HP ≤ unit's HP-5 into penalties through their next actions.",60,
