Weapon,Might,Range,Description,SP,Exclusive
New Foxkit Fang,14,1,"Accelerates Special trigger (cooldown count-1). If unit's Res > foe's Res, deals damage = 70% of difference between stats. (Maximum bonus of +7 damage.) If unit's Res > foe's Res, reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = difference between stats × 4 (max 40%).At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and if unit initiates combat, inflicts Atk/Def-4 on foe during combat and foe cannot make a follow-up attack.",400,Yes
New Year Fang,14,1,"Accelerates Special trigger (cooldown count-1).At start of player phase or enemy phase, if unit is within 2 spaces of an ally, grants Def/Res+6,【Hexblade】, and ""reduces the percentage of foe's non-Special 'reduce damage by X%' skills by 50% during combat (excluding area-of-effect Specials)"" to unit and allies within 2 spaces of unit for 1 turn.If unit is transformed or unit's HP ≥ 25% at start of combat, deals damage to foe = 25% of foe's max HP as combat begins (activates only when unit can attack in combat; only highest value applied; does not stack with other ""deals X damage as combat begins"" effects; effects that reduce damage during combat do not apply; will not reduce foe's HP below 1; excluding certain foes, such as Røkkr).If unit is transformed or unit's HP ≥ 25% at start of combat, inflicts penalty on foe's Atk/Def = 6 + 20% of unit's Def at start of combat, any ""reduces damage by X%"" effect that can be triggered only once per combat by unit's equipped Special skill can be triggered up to twice per combat (excludes boosted Special effects from engaging; only highest value applied; does not stack), deals damage = 30% of foe's max HP (excluding area-of-effect Specials; excluding certain foes, such as Røkkr), and reduces damage from foe's attacks by X during combat (X = total damage dealt to foe; min 10; max 20; excluding area-of-effect Specials), and also, when foe's attack triggers foe's Special, reduces damage from foe's attacks by an additional X (excluding area-of-effect Specials).At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and unit can counterattack regardless of foe's range.【Hexblade】Calculates damage using the lower of foe's Def or Res during combat for 1 turn (including damage dealt by Specials before combat).",400,Yes
New Year Talon,14,1,"Accelerates Special trigger (cooldown count-1).At start of player phase or enemy phase, inflicts Spd/Def-7,【Exposure】, and 【Sabotage】on foes that are within 2 spaces of another foe through their next actions.If unit is transformed or if foe's HP ≥ 75% at start of combat, grants bonus to unit's Atk/Spd/Def/Res = 15% of unit's Spd at start of combat + 5, unit deals +X damage (X = number of Bonus effects, excluding stat bonuses, and number of Penalty effects, excluding stat penalties, active on foe and foes within 2 spaces of that foe × 3; excluding area-of-effect Specials), reduces damage from foe's first attack by 7 (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and grants Special cooldown count-1 to unit before unit's first attack during combat.At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, unit can move 1 extra space (that turn only; does not stack) and grants Atk+2 to unit.【Exposure】Foe's attacks deal +10 damage.【Sabotage】Inflicts penalty on unit's Atk/Spd/Def/Res during combat = highest penalty on each stat between unit and allies within 2 spaces of unit through its next action. Calculates each stat penalty independently.",400,Yes
Nightmare Horn,14,1,"Grants Spd+3. Unit can counterattack regardless of foe's range. If unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = difference between stats × 4 (max 40%).At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and if unit initiates combat, inflicts Atk/Def-4 on foe during combat and foe cannot make a follow-up attack.",400,Yes
Petaldream Horn,14,1,"Accelerates Special trigger (cooldown count-1).For foes within 3 rows or 3 columns centered on unit, inflicts Atk/Spd/Def/Res-5 and Special cooldown charge -1 on those foes per attack during combat (only highest value applied; does not stack), and also, if those foes have bonuses, inflicts a penalty on those foes' Atk/Spd/Def/Res and grants a bonus to foes' combat targets' Atk/Spd/Def/Res during combat = current bonus on each of that foe's stats (calculates each stat bonus and penalty independently).At start of combat, if unit's HP ≥ 25%, grants bonus to unit's Atk/Spd/Def/Res = number of foes within 3 rows or 3 columns centered on unit × 3 (max 9), deals damage = 20% of unit's Spd (excluding area-of-effect Specials), and reduces damage from foe's first attack by 20% of unit's Spd during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and restores 7 HP to unit after combat.At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and also, inflicts Atk/Def-X on foe during combat (X = number of spaces from start position to end position of whoever initiated combat + 3; max 6), and also, if X ≥ 5, reduces damage from foe's first attack by 30% during combat.",400,Yes
Polished Fang,14,1,"Grants Def+3. At start of combat, if foe's HP ≥ 75%, grants Atk/Def+6 to unit during combat, and also, if unit's Def > foe's Def, grants Special cooldown charge +1 per foe's attack (only highest value applied; does not stack) and deals +5 damage per unit's attack, including when dealing damage with a Special triggered before combat.At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, deals +7 damage when Special triggers, and neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit during combat.",400,Yes
Quieting Antler,14,1,"Enables【Canto (２)】.Accelerates Special trigger (cooldown count-1).At start of turn, if unit is within 2 spaces of an ally, grants Atk/Def+6 and【Bonus Doubler】to unit and allies within 2 spaces of unit for 1 turn.If unit is within 2 spaces of an ally, and if unit and allies within 2 spaces of unit have bonuses to Atk/Spd/Def/Res after start-of-turn skills trigger, grants an additional +3 to each corresponding stat for unit and those allies for 1 turn (calculates each stat bonus independently; max 10).If unit initiates combat or if unit is within 2 spaces of an ally, inflicts penalty on foe's Atk/Def = 6 + 20% of unit's Def at start of combat, unit deals +X damage (X = highest total bonuses among unit and allies within 3 spaces of unit; excluding area-of-effect Specials), and reduces damage from foe's attacks by 50% of X (excluding area-of-effect Specials).At start of turn, if unit is adjacent to only beast or dragon allies or is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2 to unit, inflicts Atk/Def-Y on foe during combat (Y = number of spaces from start position to end position of whoever initiated combat, + 3; max 6), and also, if Y ≥ 5, reduces damage from foe's first attack by 30% during combat.【Canto (２)】After an attack, Assist skill, or structure destruction, unit can move ２ space(s).(Once per turn. Only highest value applied. Does not stack.)【Bonus Doubler】Grants bonus to Atk/Spd/Def/Res during combat = current bonus on each of unit's stats for 1 turn. Calculates each stat bonus independently.",400,Yes
Quieting Branch,14,1,"Accelerates Special trigger (cooldown count-1).At start of turn, if unit's HP ≥ 25%, inflicts Def/Res-7, Panic, and【Sabotage】 on closest foes and any foe within 2 spaces of those foes through their next actions, and inflicts【Assign Decoy】and status preventing counterattacks on foes with the lowest Def with Range = 1 and foes with the lowest Def with Range = 2 among closest foes and any foe within 2 spaces of those foes (status preventing counterattacks is through their next actions).At start of combat, if unit's HP ≥ 25%, inflicts penalty on foe's Atk/Def = 20% of unit's Res at start of combat + 6, grants Special cooldown count-2 to unit before foe's first attack, and reduces damage from foe's attacks by 20% of unit's Res during combat (excluding area-of-effect Specials), and also, if foe's attack triggers foe's Special, reduces damage from foe's attacks by 20% of unit's Res during combat (excluding area-of-effect Specials), and restores 7 HP to unit after combat.At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and unit can counterattack regardless of foe's range.【Sabotage】Inflicts penalty on unit's Atk/Spd/Def/Res during combat = highest penalty on each stat between unit and allies within 2 spaces of unit through its next action. Calculates each stat penalty independently.【Assign Decoy】If foe's Range = unit's Range and foe initiates combat against an ally within 2 spaces of unit, triggers【Savior】on unit (that turn only; triggers only if unit is not equipped with a skill that can trigger the Savior effect).【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.",400,Yes
Quieting Claw,14,1,"Accelerates Special trigger (cooldown count-1). At start of turn, if unit's HP ≥ 25%, inflicts Spd/Def-7,【Exposure】, and a penalty that neutralizes non-Special ""if foe would reduce unit's HP to 0, unit survives with 1 HP"" effects on nearest foe and foes within 2 spaces of them through their next actions. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit and inflicts Atk/Spd/Def-X on foe (X = number of foes within 2 spaces of target with Bonuses or Penalties active on them, excluding target, × 3, + 4; max 10), deals Y damage (Y = total number of Bonuses and Penalties active on foe and any foe within 2 spaces of foe, excluding stat bonuses and stat penalties, x 3; excluding when dealing damage with an area-of-effect Special), reduces damage from attacks by 40%, and reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% during combat. At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, unit can move 1 extra space (that turn only; does not stack) and grants Atk+2 to unit.【Exposure】Foe's attacks deal +10 damage.",400,Yes
Ravager,14,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, inflicts Special cooldown charge -1 per attack on foe and Atk/Def-6 on foe during combat (only highest value applied; does not stack), and also, if unit is transformed, grants Special cooldown charge +1 per attack to unit during combat (only highest value applied; does not stack). If unit's HP ≥ 25% at start of combat and foe initiates combat, reduces damage from foe's follow-up attack by 80% during combat (""follow-up attack"" normally means only the second strike; for effects that grant ""unit attacks twice,"" it means the third and fourth strikes). At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and if foe initiates combat, unit can counterattack regardless of foe's range.",400,Yes
Raven King Beak,14,1,"Grants Spd+3. If unit's Spd > foe's Spd, deals damage = 70% of difference between stats. (Maximum bonus of +7 damage. Combos with Phantom Spd.) At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, unit can move 1 extra space. (That turn only. Does not stack.) If unit transforms, grants Atk+2.",400,Yes
Raydream Horn,14,1,"Grants Atk+3. If unit initiates combat or is within 2 spaces of an ally, grants Atk+6 to unit, inflicts Atk-6 on foe during combat, and unit makes a guaranteed follow-up attack.At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and if unit initiates combat, inflicts Atk/Def-4 on foe during combat and foe cannot make a follow-up attack.",400,Yes
Refreshed Fang,14,1,"Grants Spd+3. At start of combat, if foe's HP ≥ 75%, grants Spd+5 to unit, inflicts Spd-5 on foe during combat, and then, if unit's Spd > foe's Spd, deals damage = 70% of difference between stats. (Maximum bonus of +7 damage. Combos with Phantom Spd.)At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and also, if unit initiates combat, inflicts Atk/Def-4 on foe during combat and foe cannot make a follow-up attack.",400,Yes
Renewed Fang,14,1,"Accelerates Special trigger (cooldown count-1). If unit is within 2 spaces of support partner, inflicts Atk/Spd-6 on foe and grants Special cooldown charge +1 to unit per attack during combat. (Only highest value applied. Does not stack.) Grants Special cooldown charge +1 per attack to support partners within 2 spaces. (Only highest value applied. Does not stack.)At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2 and deals +10 damage when Special triggers.",400,Yes
Resolved Fang,14,1,"Grants Def+3. At start of combat, if foe's HP ≥ 75%, grants Def+5 to unit, inflicts Def-5 on foe during combat, and then, if unit's Def > foe's Def, deals damage = 70% of difference between stats. (Maximum bonus of +7 damage.)At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2 and deals +10 damage when Special triggers.",400,Yes
Royal Hatari Fang,14,1,"Enables【Canto (Rem. +1)】while transformed.Accelerates Special trigger (cooldown count-1). If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit and neutralizes effects that guarantee foe's follow-up attacks or prevent unit's follow-up attacks during combat.At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, deals +7 damage when Special triggers, and neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit.【Canto (Rem. +1)】After an attack, Assist skill, or structure destruction, unit can move again.The distance of the movement is the remaining movement the unit had before the actions listed above+1 (If unit used a movement skill that warps them, the remainder is 0).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",400,Yes
Sabertooth Fang,14,1,"Grants Def+3. If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, inflicts Atk/Spd/Def/Res-4 on foes within 2 spaces of unit and target through their next actions after movement. At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2 and deals +10 damage when Special triggers.",400,Yes
Sky-Pirate Claw,14,1,"Accelerates Special trigger (cooldown count-1).If unit is not adjacent to an ally, grants Atk+5 to unit and inflicts Atk-5 on foe during combat and unit makes a guaranteed follow-up attack.At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, unit can move 1 extra space. (That turn only. Does not stack.) If unit transforms, grants Atk+2.",400,Yes
Sparkling Fang,14,1,"Grants Spd+3. At start of combat, if foe's HP ≥ 75%, grants Atk/Spd+6 to unit during combat, and also, if unit's Spd > foe's Spd, grants Special cooldown charge +1 per unit's attack (only highest value applied; does not stack) and deals +5 damage to foe per unit's attack, including when dealing damage with a Special triggered before combat.At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and if unit initiates combat, inflicts Atk/Def-4 on foe during combat and foe cannot make a follow-up attack.",400,Yes
Taguel Fang,14,1,"Effective against cavalry foes. If unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, grants Atk/Spd/Def/Res+3 during combat. At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and if unit initiates combat, inflicts Atk/Def-4 on foe during combat and foe cannot make a follow-up attack.",400,Yes
Twin-Crest Power,14,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, inflicts Atk/Def-6 on foe during combat and unit and foe both cannot make a follow-up attack, and also, if unit initiates combat while transformed, grants another action to unit after combat. (Once per turn.) At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2 and unit can counterattack regardless of foe's range.",400,Yes
Wary Rabbit Fang,14,1,"Grants Spd+3. Effective against cavalry foes. If unit initiates combat or is not adjacent to an ally, grants Atk/Spd+6 to unit during combat and inflicts penalty on foe's Atk/Def during combat = 20% of unit's Spd at start of combat, and also, after combat, if unit's HP ≤ 90%, grants Special cooldown count-2. At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and if unit initiates combat, inflicts Atk/Def-4 on foe during combat and foe cannot make a follow-up attack.",400,Yes
Whelp (Armored),4,1,"At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and unit can counterattack regardless of foe's range.",50,No
Whelp (Cavalry),4,1,"At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and if unit initiates combat, inflicts Atk/Def-4 on foe during combat and foe cannot make a follow-up attack.",50,No
Whelp (Infantry),4,1,"At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2 and deals +10 damage when Special triggers.",50,No
Wild Tiger Fang,14,1,"Grants Atk+3. At start of turn, inflicts Atk/Spd/Def/Res-6 on foes within 4 spaces of unit through their next actions. At start of combat, if foe's HP ≥ 75%, grants Atk/Spd+6 to unit and neutralizes bonuses (from skills like Fortify, Rally, etc.) on foe during combat.At start of turn 2, turn 4, and all later turns, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, deals +7 damage when Special triggers, and neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit during combat, but after combat, if unit attacked, deals 5 damage to unit.",400,Yes
Wolf Queen Fang,14,1,"Accelerates Special trigger (cooldown count-1).During combat, boosts unit's Atk/Spd by number of allies within 2 spaces × 2. (Maximum bonus of +6 to each stat.) At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2 and deals +10 damage when Special triggers.",400,Yes
Wolfpup Fang,14,1,"Grants Spd+3. At the start of turn 1, grants special cooldown count-2 to unit and unit's support partner (if any). At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2 and deals +10 damage when Special triggers.",400,Yes
Wolfskin Fang,9,1,"Inflicts Spd-5. Unit attacks twice. (Even if foe initiates combat, unit attacks twice.) At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2 and deals +10 damage when Special triggers.",400,Yes
World-Tree Tail,14,1,"Enables【Canto (２)】.Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit, grants Atk/Spd+X to unit (X = 9, - 3 × number of allies with HP ≤ 40%; min 0), grants Special cooldown charge +1 to unit per attack (only highest value applied; does not stack), and reduces damage from foe's first attack by 40% during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes). At start of turn, if unit is adjacent to only beast or dragon allies or is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2 to unit, inflicts Atk/Def-Y on foe during combat (Y = number of spaces from start position to end position of whoever initiated combat, + 3; max 6), and also, if Y ≥ 5, reduces damage from foe's first attack by 30% during combat.【Canto (２)】After an attack, Assist skill, or structure destruction, unit can move ２ space(s).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",400,Yes
Yearling (Arm.),6,1,"At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and unit can counterattack regardless of foe's range.",100,No
Yearling (Cavalry),6,1,"At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and if unit initiates combat, inflicts Atk/Def-4 on foe during combat and foe cannot make a follow-up attack.",100,No
Yearling (Infantry),6,1,"At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2 and deals +10 damage when Special triggers.",100,No
